,CUSIP,year,month,return,dummy_variable
548,43851610,1990,10,-0.098655,0
549,43851610,1990,11,0.122388,0
550,43851610,1990,12,-0.027027,0
551,43851610,1991,01,0.074074,0
552,43851610,1991,02,0.041379,0
553,43851610,1991,03,-0.025210,0
554,43851610,1991,04,0.021552,0
555,43851610,1991,05,0.023629,0
556,43851610,1991,06,0.104603,0
557,43851610,1991,07,0.178030,0
558,43851610,1991,08,-0.001286,0
559,43851610,1991,09,-0.055375,0
560,43851610,1991,10,0.144828,0
561,43851610,1991,11,-0.057229,0
562,43851610,1991,12,0.128617,0
563,43851610,1992,01,0.128205,0
564,43851610,1992,02,0.007576,0
565,43851610,1992,03,0.017632,0
566,43851610,1992,04,0.153465,0
567,43851610,1992,05,0.000000,0
568,43851610,1992,06,-0.073276,0
569,43851610,1992,07,0.032558,0
570,43851610,1992,08,-0.051802,0
571,43851610,1992,09,-0.007160,0
572,43851610,1992,10,0.067308,0
573,43851610,1992,11,0.033784,0
574,43851610,1992,12,0.059081,0
575,43851610,1993,01,-0.047521,0
576,43851610,1993,02,0.148200,0
577,43851610,1993,03,0.011385,0
578,43851610,1993,04,-0.020638,0
579,43851610,1993,05,0.027433,0
580,43851610,1993,06,0.000000,0
581,43851610,1993,07,0.050562,0
582,43851610,1993,08,0.070089,0
583,43851610,1993,09,-0.025084,0
584,43851610,1993,10,-0.017153,0
585,43851610,1993,11,-0.002932,0
586,43851610,1993,12,0.110721,0
587,43851610,1994,01,-0.004747,0
588,43851610,1994,02,-0.024928,0
589,43851610,1994,03,-0.044190,0
590,43851610,1994,04,-0.054795,0
591,43851610,1994,05,0.022971,0
592,43851610,1994,06,-0.014235,0
593,43851610,1994,07,0.104693,0
594,43851610,1994,08,-0.018497,0
595,43851610,1994,09,-0.086957,0
596,43851610,1994,10,0.014652,0
597,43851610,1994,11,-0.052924,0
598,43851610,1994,12,0.042146,0
599,43851610,1995,01,0.051471,0
600,43851610,1995,02,0.064895,0
601,43851610,1995,03,0.036304,0
602,43851610,1995,04,0.009554,0
603,43851610,1995,05,0.023849,0
604,43851610,1995,06,0.102167,0
605,43851610,1995,07,0.050562,0
606,43851610,1995,08,-0.046631,0
607,43851610,1995,09,-0.005634,0
608,43851610,1995,10,-0.036827,0
609,43851610,1995,11,0.119294,0
610,43851610,1995,12,0.002639,0
611,43851610,1996,01,0.050000,0
612,43851610,1996,02,0.119800,0
613,43851610,1996,03,0.062921,0
614,43851610,1996,04,-0.019027,0
615,43851610,1996,05,-0.052155,0
616,43851610,1996,06,0.043379,0
617,43851610,1996,07,0.028446,0
618,43851610,1996,08,0.054894,0
619,43851610,1996,09,0.066802,0
620,43851610,1996,10,-0.005693,0
621,43851610,1996,11,0.121756,0
622,43851610,1996,12,-0.085324,0
623,43851610,1997,01,0.050373,0
624,43851610,1997,02,0.030337,0
625,43851610,1997,03,-0.013841,0
626,43851610,1997,04,0.014035,0
627,43851610,1997,05,0.065882,0
628,43851610,1997,06,0.094463,0
629,43851610,1997,07,0.098214,0
630,43851610,1997,08,-0.102195,0
631,43851610,1997,09,0.029523,0
632,43851610,1997,10,-0.152941,0
633,43851610,1997,11,0.034861,0
634,43851610,1997,12,0.045455,0
635,43851610,1998,01,0.003221,0
636,43851610,1998,02,0.096950,0
637,43851610,1998,03,-0.013216,0
638,43851610,1998,04,0.043155,0
639,43851610,1998,05,-0.020827,0
640,43851610,1998,06,0.038012,0
641,43851610,1998,07,-0.019718,0
642,43851610,1998,08,-0.207759,0
643,43851610,1998,09,0.030965,0
644,43851610,1998,10,0.100707,0
645,43851610,1998,11,0.133868,0
646,43851610,1998,12,0.007102,0
647,43851610,1999,01,-0.119887,0
648,43851610,1999,02,0.065256,0
649,43851610,1999,03,0.188822,0
650,43851610,1999,04,0.194409,0
651,43851610,1999,05,-0.008809,0
652,43851610,1999,06,0.085038,0
653,43851610,1999,07,0.026786,0
654,43851610,1999,08,-0.047614,0
655,43851610,1999,09,-0.024415,0
656,43851610,1999,10,-0.050052,0
657,43851610,1999,11,0.056773,0
658,43851610,1999,12,-0.038542,0
659,43851610,2000,01,-0.167931,0
660,43851610,2000,02,0.006510,0
661,43851610,2000,03,0.094805,0
662,43851610,2000,04,0.062871,0
663,43851610,2000,05,-0.020089,0
664,43851610,2000,06,-0.384000,0
665,43851610,2000,07,0.009276,0
666,43851610,2000,08,0.139706,0
667,43851610,2000,09,-0.076175,0
668,43851610,2000,10,0.510526,0
669,43851610,2000,11,-0.090592,0
670,43851610,2000,12,-0.029487,0
671,43851610,2001,01,-0.001321,0
672,43851610,2001,02,-0.007037,0
673,43851610,2001,03,-0.126899,0
674,43851610,2001,04,0.198039,0
675,43851610,2001,05,-0.009820,0
676,43851610,2001,06,-0.277066,1
677,43851610,2001,07,0.059088,0
678,43851610,2001,08,0.015663,0
679,43851610,2001,09,-0.291465,0
680,43851610,2001,10,0.119318,0
681,43851610,2001,11,0.127834,0
682,43851610,2001,12,0.020519,0
683,43851610,2002,01,-0.006209,0
684,43851610,2002,02,0.139765,0
685,43851610,2002,03,0.003935,0
686,43851610,2002,04,-0.041547,0
687,43851610,2002,05,0.073814,0
688,43851610,2002,06,-0.101276,0
689,43851610,2002,07,-0.081465,0
690,43851610,2002,08,-0.068680,0
691,43851610,2002,09,-0.276795,0
692,43851610,2002,10,0.105263,0
693,43851610,2002,11,0.094298,0
694,43851610,2002,12,-0.077278,0
695,43851610,2003,01,0.018333,0
696,43851610,2003,02,-0.055749,0
697,43851610,2003,03,-0.066841,0
698,43851610,2003,04,0.104869,0
699,43851610,2003,05,0.118114,0
700,43851610,2003,06,0.024809,0
701,43851610,2003,07,0.053259,0
702,43851610,2003,08,0.031736,0
703,43851610,2003,09,-0.091066,0
704,43851610,2003,10,0.161670,0
705,43851610,2003,11,-0.023930,0
706,43851610,2003,12,0.125968,0
707,43851610,2004,01,0.080467,0
708,43851610,2004,02,-0.024432,0
709,43851610,2004,03,-0.034237,0
710,43851610,2004,04,0.021566,0
711,43851610,2004,05,-0.020026,0
712,43851610,2004,06,0.086944,0
713,43851610,2004,07,0.026754,0
714,43851610,2004,08,-0.038354,0
715,43851610,2004,09,-0.003335,0
716,43851610,2004,10,-0.060792,0
717,43851610,2004,11,0.054558,0
718,43851610,2004,12,0.002264,0
719,43851610,2005,01,0.016097,0
720,43851610,2005,02,0.061041,0
721,43851610,2005,03,-0.020016,0
722,43851610,2005,04,-0.038968,0
723,43851610,2005,05,0.018911,0
724,43851610,2005,06,0.011041,0
725,43851610,2005,07,0.072345,0
726,43851610,2005,08,-0.020207,0
727,43851610,2005,09,-0.020376,0
728,43851610,2005,10,-0.088000,0
729,43851610,2005,11,0.074452,0
730,43851610,2005,12,0.019431,0
731,43851610,2006,01,0.031409,0
