,date,CUSIP,quarters,average_return,date,CUSIP,quarters
3619,2007,21037110,2,0.003102333333333334,,,
3620,2007,21037110,3,-0.0031053333333333328,,,
3621,2007,21037110,4,0.063178,2007,21037110,4.0
3622,2008,21037110,1,-0.04624266666666666,2008,21037110,1.0
3623,2008,21037110,2,-0.021567666666666666,2008,21037110,2.0
3624,2008,21037110,3,-0.27115966666666663,2008,21037110,3.0
3625,2008,21037110,4,0.017295333333333333,,,
3626,2009,21037110,1,-0.04758366666666667,,,
3627,2009,21037110,2,0.09385500000000001,,,
3628,2009,21037110,3,0.07095933333333333,,,
3629,2009,21037110,4,0.032378,,,
3630,2010,21037110,1,0.0040809999999999996,,,
3631,2010,21037110,2,-0.024666666666666667,,,
3632,2010,21037110,3,0.005136333333333336,,,
3633,2010,21037110,4,-0.01189966666666667,,,
3634,2011,21037110,1,0.008651999999999998,,,
3635,2011,21037110,2,0.072745,,,
3636,2011,21037110,3,0.0030756666666666662,,,
3637,2011,21037110,4,0.016150666666666667,,,
3638,2012,21037110,1,-0.0431705,,,
3639,1985,22160K10,4,0.013587,,,
3640,1986,22160K10,1,0.08453700000000001,,,
3641,1986,22160K10,2,0.049369666666666666,,,
3642,1986,22160K10,3,-0.1871683333333333,,,
3643,1986,22160K10,4,0.14712100000000003,,,
3644,1987,22160K10,1,0.010980333333333335,,,
3645,1987,22160K10,2,-0.011399666666666669,,,
3646,1987,22160K10,3,-0.015857999999999997,,,
3647,1987,22160K10,4,-0.09526400000000002,,,
3648,1988,22160K10,1,0.19377999999999998,,,
3649,1988,22160K10,2,0.010912666666666668,,,
3650,1988,22160K10,3,0.011519333333333333,,,
3651,1988,22160K10,4,0.025405333333333335,,,
3652,1989,22160K10,1,0.07378766666666665,,,
3653,1989,22160K10,2,0.045980999999999994,,,
3654,1989,22160K10,3,0.11005866666666665,,,
3655,1989,22160K10,4,0.05503766666666667,,,
3656,1990,22160K10,1,0.028011000000000005,,,
3657,1990,22160K10,2,0.04658933333333334,,,
3658,1990,22160K10,3,-0.08066433333333332,,,
3659,1990,22160K10,4,0.14433466666666667,,,
3660,1991,22160K10,1,0.14980466666666667,,,
3661,1991,22160K10,2,0.045904,,,
3662,1991,22160K10,3,0.053283,,,
3663,1991,22160K10,4,0.05751233333333333,,,
3664,1992,22160K10,1,0.0052970000000000005,,,
3665,1992,22160K10,2,-0.08661566666666666,,,
3666,1992,22160K10,3,-0.019807,,,
3667,1992,22160K10,4,-0.01778566666666666,,,
3668,1993,22160K10,1,-0.06776833333333333,,,
3669,1993,22160K10,2,-0.05768633333333333,,,
3670,1993,22160K10,3,0.03625066666666667,,,
3671,1993,22160K10,4,0.023370666666666668,,,
3672,1994,22160K10,1,-0.01497033333333333,,,
3673,1994,22160K10,2,-0.054041999999999986,,,
3674,1994,22160K10,3,0.024640333333333334,,,
3675,1994,22160K10,4,-0.06862233333333333,,,
3676,1995,22160K10,1,0.047146333333333325,,,
3677,1995,22160K10,2,0.03592633333333333,,,
3678,1995,22160K10,3,0.01980933333333333,,,
3679,1995,22160K10,4,-0.037355,,,
3680,1996,22160K10,1,0.071849,,,
3681,1996,22160K10,2,0.04907166666666666,,,
3682,1996,22160K10,3,-0.017021333333333333,,,
3683,1996,22160K10,4,0.07332266666666666,,,
3684,1997,22160K10,1,0.033396999999999996,,,
3685,1997,22160K10,2,0.062718,,,
3686,1997,22160K10,3,0.049188,,,
3687,1997,22160K10,4,0.06042733333333333,,,
3688,1998,22160K10,1,0.06362066666666666,,,
3689,1998,22160K10,2,0.05742166666666667,,,
3690,1998,22160K10,3,-0.08805466666666667,,,
3691,1998,22160K10,4,0.151338,,,
3692,1999,22160K10,1,0.08573666666666667,,,
3693,1999,22160K10,2,-0.03865933333333334,,,
3694,1999,22160K10,3,-0.034381,,,
3695,1999,22160K10,4,0.08410433333333334,,,
3696,2000,22160K10,1,0.04861533333333334,,,
3697,2000,22160K10,2,-0.11581466666666666,,,
3698,2000,22160K10,3,0.019614333333333334,,,
3699,2000,22160K10,4,0.05440799999999999,,,
3700,2001,22160K10,1,0.0002940000000000026,,,
3701,2001,22160K10,2,0.01988266666666667,,,
3702,2001,22160K10,3,-0.04416899999999999,2001,22160K10,3.0
3703,2001,22160K10,4,0.076692,,,
3704,2002,22160K10,1,-0.033814,2002,22160K10,1.0
3705,2002,22160K10,2,-0.010047666666666667,2002,22160K10,2.0
3706,2002,22160K10,3,-0.05669933333333333,2002,22160K10,3.0
3707,2002,22160K10,4,-0.04370533333333334,2002,22160K10,4.0
3708,2003,22160K10,1,0.023321666666666668,2003,22160K10,1.0
3709,2003,22160K10,2,0.07044766666666667,2003,22160K10,2.0
3710,2003,22160K10,3,-0.050532,2003,22160K10,3.0
3711,2003,22160K10,4,0.062149,2003,22160K10,4.0
3712,2004,22160K10,1,0.004451333333333332,2004,22160K10,1.0
3713,2004,22160K10,2,0.03231733333333333,2004,22160K10,2.0
3714,2004,22160K10,3,0.003524,2004,22160K10,3.0
3715,2004,22160K10,4,0.05561533333333334,2004,22160K10,4.0
3716,2005,22160K10,1,-0.029182333333333338,2005,22160K10,1.0
3717,2005,22160K10,2,0.008354000000000002,2005,22160K10,2.0
3718,2005,22160K10,3,-0.010941666666666667,2005,22160K10,3.0
3719,2005,22160K10,4,0.049322,2005,22160K10,4.0
3720,2006,22160K10,1,0.03162366666666667,2006,22160K10,1.0
3721,2006,22160K10,2,0.01972166666666667,2006,22160K10,2.0
3722,2006,22160K10,3,-0.041868666666666665,2006,22160K10,3.0
3723,2006,22160K10,4,0.022526333333333332,,,
3724,2007,22160K10,1,0.007685333333333331,,,
3725,2007,22160K10,2,0.029371666666666667,2007,22160K10,2.0
3726,2007,22160K10,3,0.016935333333333333,2007,22160K10,3.0
3727,2007,22160K10,4,0.045075666666666674,2007,22160K10,4.0
3728,2008,22160K10,1,-0.021101666666666668,2008,22160K10,1.0
3729,2008,22160K10,2,0.027780999999999997,2008,22160K10,2.0
3730,2008,22160K10,3,-0.021897,2008,22160K10,3.0
3731,2008,22160K10,4,-0.065445,2008,22160K10,4.0
3732,2009,22160K10,1,-0.03482333333333334,2009,22160K10,1.0
3733,2009,22160K10,2,-0.0017303333333333337,2009,22160K10,2.0
3734,2009,22160K10,3,0.07357233333333334,2009,22160K10,3.0
3735,2009,22160K10,4,0.017667666666666665,2009,22160K10,4.0
3736,2010,22160K10,1,0.004900666666666665,2010,22160K10,1.0
3737,2010,22160K10,2,-0.026614,2010,22160K10,2.0
3738,2010,22160K10,3,0.05853866666666666,2010,22160K10,3.0
3739,2010,22160K10,4,0.040550666666666665,2010,22160K10,4.0
3740,2011,22160K10,1,0.0063793333333333315,2011,22160K10,1.0
3741,2011,22160K10,2,0.036945,2011,22160K10,2.0
3742,2011,22160K10,3,0.0052256666666666675,,,
3743,2011,22160K10,4,0.005977666666666667,,,
3744,2012,22160K10,1,0.030487,,,
3745,2012,22160K10,2,0.017876000000000003,,,
3746,2012,22160K10,3,0.018749666666666664,,,
3747,2012,22160K10,4,0.019571666666666668,,,
3748,2013,22160K10,1,0.02552566666666667,,,
3749,2013,22160K10,2,0.014788,,,
3750,2013,22160K10,3,0.015608000000000002,2013,22160K10,3.0
3751,2013,22160K10,4,0.013020333333333333,2013,22160K10,4.0
3752,2014,22160K10,1,-0.019172666666666668,2014,22160K10,1.0
3753,2014,22160K10,2,0.011471,2014,22160K10,2.0
3754,2014,22160K10,3,0.02962833333333333,2014,22160K10,3.0
3755,2014,22160K10,4,0.04330066666666666,2014,22160K10,4.0
3756,2015,22160K10,1,0.03494033333333333,2015,22160K10,1.0
3757,2015,22160K10,2,-0.03637633333333334,2015,22160K10,2.0
3758,2015,22160K10,3,0.024904333333333334,2015,22160K10,3.0
3759,2015,22160K10,4,0.03920733333333334,2015,22160K10,4.0
3760,2016,22160K10,1,-0.006171666666666666,2016,22160K10,1.0
3761,2016,22160K10,2,0.000932,2016,22160K10,2.0
3762,2016,22160K10,3,-0.007421999999999998,2016,22160K10,3.0
3763,2016,22160K10,4,0.018128666666666664,2016,22160K10,4.0
3764,2017,22160K10,1,0.017954,2017,22160K10,1.0
3765,2017,22160K10,2,0.0012146666666666694,2017,22160K10,2.0
3766,2017,22160K10,3,0.010426,2017,22160K10,3.0
3767,2017,22160K10,4,0.04589566666666667,2017,22160K10,4.0
3768,2018,22160K10,1,0.005422333333333332,2018,22160K10,1.0
3769,2018,22160K10,2,0.036292,2018,22160K10,2.0
3770,2018,22160K10,3,0.04086833333333333,2018,22160K10,3.0
3771,2018,22160K10,4,-0.043910333333333336,2018,22160K10,4.0
3772,2019,22160K10,1,0.06079566666666667,2019,22160K10,1.0
3773,2019,22160K10,2,0.031809333333333335,2019,22160K10,2.0
3774,2019,22160K10,3,0.030742666666666668,2019,22160K10,3.0
3775,2019,22160K10,4,0.007645333333333334,2019,22160K10,4.0
3776,2020,22160K10,1,-0.008004333333333334,2020,22160K10,1.0
3777,2020,22160K10,2,0.022043000000000004,2020,22160K10,2.0
3778,2020,22160K10,3,0.055005,2020,22160K10,3.0
3779,2020,22160K10,4,0.03070233333333333,,,
3780,1995,23918K10,4,0.145099,,,
3781,1996,23918K10,1,0.014382666666666667,,,
3782,1996,23918K10,2,0.11052966666666668,,,
3783,1996,23918K10,3,-0.010284,,,
