Year; Shares ;Company;Percentage of Company Owned; Cost (in millions) ; Market (in millions) ;Ticker;Net Change in Shares Since Prior Report
2006;1.724.200;White Mountains Insurance;16;369;999;WTM;0
2006;0;Others ;0;5.866,00;8.315,00;No Ticker;0
2005;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);12,2;1.287,00;7.802,00;AXP;0
2005;30.322.137;AMERIPRISE FINANCIAL, INC. (XNYS:AMP);12,1;183;1.243,00;AMP;0
2005;43.854.200;Anheuser-Busch Cos., Inc.;5,6;2.133,00;1.884,00;BUD;0
2005;200.000.000;THE COCA-COLA COMPANY (XNYS:KO);8,4;1.299,00;8.062,00;KO;0
2005;6.708.760;M&T BANK CORPORATION (XNYS:MTB);6;103;732;MTB;0
2005;48.000.000;MOODY'S CORPORATION (XNYS:MCO);16,2;499;2.948,00;MCO;24000000
2005;2.338.961.000;PetroChina Company Limited (XNYS:PTR);1,3;488;1.915,00;PTR;0
2005;100.000.000;THE PROCTER & GAMBLE COMPANY (XNYS:PG);3;940;5.788,00;PG;0
2005;19.944.300;WALMART INC. (XNYS:WMT);0,5;944;933;WMT;0
2005;1.727.765;The Washington Post Company ;18;11;1.322,00;WPO;0
2005;95.092.200;Wells Fargo & Company;5,7;2.754,00;5.975,00;WFC;38643820
2005;1.724.200;White Mountains Insurance;16;369;963;WTM;0
2005;0;Others;0;4.937,00;7.154,00;No Ticker;0
2004;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);12,1;1.470,00;8.546,00;AXP;0
2004;200.000.000;THE COCA-COLA COMPANY (XNYS:KO);8,3;1.299,00;8.328,00;KO;0
2004;96.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);9,7;600;4.299,00;GILLETTE;0
2004;14.350.600;H & R BLOCK, INC. (XNYS:HRB);8,7;223;703;HRB;-260300
2004;6.708.760;M&T BANK CORPORATION (XNYS:MTB);5,8;103;723;MTB;0
2004;24.000.000;MOODY'S CORPORATION (XNYS:MCO);16,2;499;2.084,00;MCO;0
2004;2.338.961.000;PetroChina Company Limited (XNYS:PTR);1,3;488;1.249,00;PTR;0
2004;1.727.765;The Washington Post Company ;18,1;11;1.698,00;WPO;0
2004;56.448.380;Wells Fargo & Company;3,3;463;3.508,00;WFC;0
2004;1.724.200;White Mountains Insurance;16;369;1.114,00;WTM;0
2004;0;Others;0;3.531,00;5.465,00;No Ticker;0
2003;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);11,8;1.470,00;7.312,00;AXP;0
2003;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);8,2;1.299,00;10.150,00;CCC3;0
2003;96.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);9,5;600;3.526,00;GILLETTE;0
2003;14.610.900;H & R BLOCK, INC. (XNYS:HRB);8,2;227;809;HRB;-1388300
2003;15.476.500;HCA HEALTHCARE, INC. (XNYS:HCA);3,1;492;665;HCA;0
2003;6.708.760;M&T BANK CORPORATION (XNYS:MTB);5,6;103;659;MTB;0
2003;24.000.000;MOODY'S CORPORATION (XNYS:MCO);16,1;499;1.453,00;MCO;0
2003;2.338.961.000;PetroChina Company Limited (XHKG:857);1,3;488;1.340,00;857;0
2003;1.727.765;The Washington Post Company ;18,1;11;1.367,00;WPO;0
2003;56.448.380;Wells Fargo & Company;3,3;463;3.324,00;WFC;3183300
2003;0;Others ;0;2.863,00;4.682,00;No Ticker;0
2002;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);0;1.470,00;5.359,00;AXP;0
2002;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);0;1.299,00;8.768,00;CCC3;0
2002;96.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);0;600;2.915,00;GILLETTE;0
2002;15.999.200;H & R BLOCK, INC. (XNYS:HRB);0;255;643;HRB;0
2002;6.708.760;M&T BANK CORPORATION (XNYS:MTB);0;103;532;MTB;0
2002;24.000.000;MOODY'S CORPORATION (XNYS:MCO);0;499;991;MCO;0
2002;1.727.765;The Washington Post Company ;0;11;1.275,00;WPO;0
2002;53.265.080;Wells Fargo & Company;0;306;2.497,00;WFC;-53265080
2002;0;Others ;0;4.621,00;5.383,00;No Ticker;0
2001;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);0;1.470,00;5.410,00;AXP;0
2001;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);0;1.299,00;9.430,00;CCC3;0
2001;96.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);0;600;3.206,00;GILLETTE;0
2001;15.999.200;H & R BLOCK, INC. (XNYS:HRB);0;255;715;HRB;0
2001;24.000.000;MOODY'S CORPORATION (XNYS:MCO);0;499;957;MCO;0
2001;1.727.765;The Washington Post Company;0;11;916;WPO;0
2001;53.265.080;Wells Fargo & Company ;0;306;2.315,00;WFC;-1806300
2001;0;Others;0;4.103,00;5.726,00;No Ticker;0
2000;151.610.700;AMERICAN EXPRESS COMPANY (XNYS:AXP);0;1.470,00;8.329,00;AXP;101073800
2000;200.000.000;THE COCA-COLA COMPANY (XETR:CCC3);0;1.299,00;12.188,00;CCC3;0
2000;96.000.000;GILLETTE INDIA LIMITED (XNSE:GILLETTE);0;600;3.468,00;GILLETTE;0
2000;1.727.765;The Washington Post Company ;0;11;1.066,00;WPO;0
2000;55.071.380;Wells Fargo & Company;0;319;3.067,00;WFC;-4065300
2000;0;Others;0;6.703,00;9.501,00;No Ticker;0
